Issue Type,Summary,Description,Priority,Labels,Components,Status
Story,"[DevEx]: As a developer, I want a Vitest test suite with coverage so that I can validate service stubs and renderer logic confidently.","h2. User Story Statement
As a developer
I want to run a fast, coverage-aware unit test suite
So that I can catch regressions early and track how much code is exercised

h2. Context / Background
Project started without any test infrastructure. Vitest was selected to match the ESM/JSX stack and provide v8 coverage without a separate runner.

Related Issues: SEN-002

h2. Acceptance Criteria
- [x] AC 1: npm test runs all tests with no manual configuration
- [x] AC 2: Coverage is collected via v8 provider and written to coverage/
- [x] AC 3: All 127 tests across 15 suites pass on a clean install
- [x] AC 4: Each proxy service stub has at least one test confirming it exports an object

h2. Technical Notes
- vitest.config.js with jsdom environment and @testing-library/react
- Test files under src/main/__tests__/ and src/renderer/__tests__/

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated (TEST_COVERAGE.md)",Medium,"sentinel,devex,completed,tests","DevEx",Done
Story,"[DevEx]: As a developer, I want .gitignore set correctly so that build artifacts and tooling config are not committed.","h2. User Story Statement
As a developer
I want the .gitignore to exclude generated and local-only directories
So that only source-controlled files appear in PRs and commit history

h2. Context / Background
Dist, node_modules, .vscode, and .github were being tracked or risked being tracked.

h2. Acceptance Criteria
- [x] AC 1: /dist is excluded
- [x] AC 2: /node_modules is excluded
- [x] AC 3: /.vscode and /.github are excluded
- [x] AC 4: No coverage/ or test output directories are committed

h2. Technical Notes
Entries live at repo root .gitignore.

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Low,"sentinel,devex,completed,gitignore","DevEx",Done
Story,"[DevEx]: As a developer, I want unused packaging artifact folders removed so that the repository does not contain unreferenced third-party files.","h2. User Story Statement
As a developer
I want orphaned vendor folders purged from the repo
So that the workspace is lean and build output is not polluted

h2. Context / Background
m/, mini/, and dom/ were framer-motion packaging artifacts with no imports in the app. Identified via directory scan.

h2. Acceptance Criteria
- [x] AC 1: m/, mini/, and dom/ folders are deleted
- [x] AC 2: npx gulp build succeeds after deletion
- [x] AC 3: npm run start launches without errors after deletion

h2. Technical Notes
No source files imported these folders. Safe to delete.

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Low,"sentinel,devex,completed,cleanup","DevEx",Done
Story,"[Docs]: As a contributor, I want an accurate README so that I can understand the project structure, stack, and how to run it.","h2. User Story Statement
As a new contributor
I want a README that reflects the actual file tree, scripts, and tech stack
So that I can onboard quickly without guessing at missing context

h2. Context / Background
The original README did not reflect the Sentinel scope, planning items, or current component structure.

Related Issues: SEN-005

h2. Acceptance Criteria
- [x] AC 1: README shows the current src/ file tree with TODO annotations on stubs
- [x] AC 2: Tech stack section lists Electron, React, Chakra UI, Gulp, Vitest
- [x] AC 3: Scripts (dev, start, test) are documented with their purpose
- [x] AC 4: TODO scope section lists the 10 outstanding sentinel implementation items
- [x] AC 5: Planned Changes roadmap highlights are present

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Medium,"sentinel,docs,completed,readme","Documentation",Done
Story,"[Docs]: As a project lead, I want planning docs updated with Burp, HackerOne, and custom-script TODO items so that the full intended scope is tracked.","h2. User Story Statement
As a project lead
I want planning documents to record all three integration TODOs
So that no intended scope item is missing from milestone planning

h2. Context / Background
Burp Suite project config import, HackerOne CSV ingestion, and custom-script automation were identified as required features not yet in any planning doc.

Related Issues: SEN-004, SEN-016, SEN-017, SEN-018

h2. Acceptance Criteria
- [x] AC 1: SENTINEL_IMPLEMENTATION_PLAN.md contains Burp Suite import entry under M5
- [x] AC 2: SENTINEL_IMPLEMENTATION_PLAN.md contains HackerOne CSV ingestion under M5
- [x] AC 3: SENTINEL_IMPLEMENTATION_PLAN.md contains custom-script automation under M8
- [x] AC 4: APP_COMPLETION_AND_TEST_CHECKLIST.md mirrors all three additions

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Low,"sentinel,docs,completed,planning","Documentation",Done
Story,"[Renderer]: As a developer, I want the renderer entry point renamed from app.jsx to main.jsx so that it is unambiguous from the App.jsx root component.","h2. User Story Statement
As a developer
I want the bootstrapper file named main.jsx and the root UI component named App.jsx
So that the distinction between entry point and root component is immediately clear

h2. Context / Background
app.jsx and App.jsx coexisted. Renaming the lowercase entry to main.jsx follows React ecosystem conventions.

h2. Acceptance Criteria
- [x] AC 1: src/renderer/js/app.jsx is renamed to src/renderer/js/main.jsx
- [x] AC 2: gulpfile.js jsEntry points to main.jsx
- [x] AC 3: All doc references updated (README, checklists, instruction files)
- [x] AC 4: Build and tests pass after rename

h2. Technical Notes
- gulpfile.js paths.jsEntry value updated

h2. Definition of Done
- [x] Unit tests passed (127 passing)
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Low,"sentinel,renderer,completed,rename","Renderer",Done
Story,"[Renderer/Shell]: As a security analyst, I want a Sentinel workspace shell so that I can navigate between security testing modules in a single window.","h2. User Story Statement
As a security analyst
I want module navigation, tabbed workspace panes, and global proxy status controls in the app shell
So that I can move between modules and manage the proxy without losing context

h2. Context / Background
App.jsx previously had only version info. The shell needed module buttons, pane strip, status badges, and a pause/resume proxy control.

Related Issues: SEN-008

h2. Acceptance Criteria
- [x] AC 1: Module navigation buttons render for Dashboard, Proxy, History, Repeater, Intruder, Target, Scanner, Decoder, Extensions
- [x] AC 2: Clicking a module opens or focuses a pane in the workspace strip
- [x] AC 3: Panes can be closed (minimum 1 pane enforced)
- [x] AC 4: Global status badges show proxy state, project name, and scope mode
- [x] AC 5: Pause/Resume proxy toggle button changes badge color and label
- [x] AC 6: Sidebar shows Active Context and Planned Integrations cards

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",High,"sentinel,renderer,completed,shell","Renderer",Done
Story,"[Renderer/Panels]: As a developer, I want all 12 sentinel panel stubs converted to real React components so that the module navigation can render actual UI.","h2. User Story Statement
As a developer
I want each sentinel panel to be a proper exported React component
So that the workspace shell can render the correct panel when a pane is selected

h2. Context / Background
All 12 panel files were comment-only TODO stubs with no JSX. The shell's render call required real components.

Related Issues: SEN-007

h2. Acceptance Criteria
- [x] AC 1: All 12 panel files export a named React function component via module.exports
- [x] AC 2: Each panel renders a Heading and Text placeholder describing planned functionality
- [x] AC 3: App.jsx imports all active panels and renders via a modulePanels map
- [x] AC 4: Selecting a pane renders the correct panel component
- [x] AC 5: Build and 127 tests pass

h2. Technical Notes
Panels include DashboardShell, ProxyPanel, HistoryPanel, RepeaterPanel, IntruderPanel, TargetMapPanel, ScannerPanel, DecoderPanel, ExtensionsPanel, EmbeddedBrowserPanel, OobPanel, SequencerPanel

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",High,"sentinel,renderer,completed,panels","Renderer",Done
Story,"[Renderer/Shell]: As a security analyst, I want the sidebar status card to show panel-specific fields so that I always see relevant context for the active module.","h2. User Story Statement
As a security analyst
I want the Active Context sidebar card to reflect fields specific to whichever pane is open
So that I can see proxy queue depth, scope count, or findings without switching panels

h2. Context / Background
The sidebar previously showed generic fields. Panel-specific fields make it contextually useful.

Related Issues: SEN-007

h2. Acceptance Criteria
- [x] AC 1: Each module has a defined set of status fields (label plus state key)
- [x] AC 2: Switching panes updates the sidebar card to show that module's fields
- [x] AC 3: Default values are seeded from defaultPanelStatus
- [x] AC 4: Fields render as Code values alongside their labels
- [x] AC 5: Build succeeds

h2. Technical Notes
panelStatusFields and defaultPanelStatus live in App.jsx. State held in panelStatus.

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",Medium,"sentinel,renderer,completed,status","Renderer",Done
Story,"[Bug]: As a user, I want the app window to render content on startup so that I am not presented with a blank screen.","h2. User Story Statement
As a user
I want the app to render the workspace shell on launch
So that I can begin using the tool immediately without a blank-screen failure

h2. Context / Background
Divider was removed in Chakra UI v3 and replaced by Separator. Using the removed import caused a render error and left the window blank.

h2. Acceptance Criteria
- [x] AC 1: Divider import replaced with Separator in App.jsx
- [x] AC 2: Divider JSX replaced with Separator JSX in the render output
- [x] AC 3: npm run start opens a fully rendered workspace shell with no console errors

h2. Technical Notes
Chakra UI v3 migration: Divider to Separator.

h2. Definition of Done
- [x] Unit tests passed
- [x] Code reviewed
- [x] QA verified locally
- [x] Documentation updated",High,"sentinel,bug,completed,chakra","Renderer",Done
